N         Time(s)           OB_avg          OB_max       OB_min
1670      0.00009883        9327.00         9327         9327            
1680      0.00009966        9392.00         9392         9392            
1690      0.00010037        9457.00         9457         9457            
1700      0.00010165        9516.00         9516         9516            
1710      0.00010252        9575.00         9575         9575            
1720      0.00010245        9628.00         9628         9628            
1730      0.00010241        9679.00         9679         9679            
1740      0.00010343        9740.00         9740         9740            
1750      0.00010464        9795.00         9795         9795            
1760      0.00010430        9840.00         9840         9840            
1770      0.00013880        9895.00         9895         9895            
1780      0.00010510        9940.00         9940         9940            
1790      0.00010593        9979.00         9979         9979            
1800      0.00010741        10044.00        10044        10044           
1810      0.00010727        10111.00        10111        10111           
1820      0.00010791        10172.00        10172        10172           
1830      0.00010902        10233.00        10233        10233           
1840      0.00010965        10288.00        10288        10288           
1850      0.00011073        10343.00        10343        10343           
1860      0.00011140        10396.00        10396        10396           
1870      0.00011162        10455.00        10455        10455           
1880      0.00011193        10508.00        10508        10508           
1890      0.00011255        10557.00        10557        10557           
1900      0.00011385        10608.00        10608        10608           
1910      0.00011489        10653.00        10653        10653           
1920      0.00011459        10688.00        10688        10688           
1930      0.00011534        10753.00        10753        10753           
1940      0.00011639        10808.00        10808        10808           
1950      0.00011643        10857.00        10857        10857           
1960      0.00011692        10908.00        10908        10908           
1970      0.00011838        10955.00        10955        10955           
1980      0.00011821        10996.00        10996        10996           
1990      0.00011935        11043.00        11043        11043           
2000      0.00011942        11088.00        11088        11088           
2010      0.00012339        11133.00        11133        11133           
2020      0.00012023        11172.00        11172        11172           
2030      0.00012088        11211.00        11211        11211           
2040      0.00012136        11244.00        11244        11244           
2050      0.00012195        11287.00        11287        11287           
2060      0.00012536        11388.00        11388        11388           
2070      0.00012496        11483.00        11483        11483           
2080      0.00012484        11568.00        11568        11568           
2090      0.00012711        11663.00        11663        11663           
2100      0.00012716        11748.00        11748        11748           
2110      0.00012774        11827.00        11827        11827           
2120      0.00012863        11916.00        11916        11916           
2130      0.00012986        12003.00        12003        12003           
2140      0.00013019        12084.00        12084        12084           
2150      0.00013147        12165.00        12165        12165           
2160      0.00013152        12240.00        12240        12240           
2170      0.00013184        12315.00        12315        12315           
2180      0.00013288        12392.00        12392        12392           
2190      0.00013372        12481.00        12481        12481           
2200      0.00013419        12564.00        12564        12564           
2210      0.00013505        12643.00        12643        12643           
2220      0.00013564        12724.00        12724        12724           
2230      0.00014160        12799.00        12799        12799           
