N         Time(s)           OB_avg          OB_max       OB_min
1620      0.00297298        1311390.00      1311390      1311390         
1630      0.00303666        1327635.00      1327635      1327635         
1640      0.00302580        1343980.00      1343980      1343980         
1650      0.00309717        1360425.00      1360425      1360425         
1660      0.00319582        1376970.00      1376970      1376970         
1670      0.00313061        1393615.00      1393615      1393615         
1680      0.00319608        1410360.00      1410360      1410360         
1690      0.00324254        1427205.00      1427205      1427205         
1700      0.00326551        1444150.00      1444150      1444150         
1710      0.00330278        1461195.00      1461195      1461195         
1720      0.00332348        1478340.00      1478340      1478340         
1730      0.00340793        1495585.00      1495585      1495585         
1740      0.00347062        1512930.00      1512930      1512930         
1750      0.00352541        1530375.00      1530375      1530375         
1760      0.00359122        1547920.00      1547920      1547920         
1770      0.00355736        1565565.00      1565565      1565565         
1780      0.00357247        1583310.00      1583310      1583310         
1790      0.00365406        1601155.00      1601155      1601155         
1800      0.00367758        1619100.00      1619100      1619100         
1810      0.00371225        1637145.00      1637145      1637145         
1820      0.00380331        1655290.00      1655290      1655290         
1830      0.00376402        1673535.00      1673535      1673535         
1840      0.00392423        1691880.00      1691880      1691880         
1850      0.00389200        1710325.00      1710325      1710325         
1860      0.00389094        1728870.00      1728870      1728870         
1870      0.00401749        1747515.00      1747515      1747515         
1880      0.00402048        1766260.00      1766260      1766260         
1890      0.00404495        1785105.00      1785105      1785105         
1900      0.00408113        1804050.00      1804050      1804050         
1910      0.00406548        1823095.00      1823095      1823095         
1920      0.00415813        1842240.00      1842240      1842240         
1930      0.00415859        1861485.00      1861485      1861485         
1940      0.00420373        1880830.00      1880830      1880830         
1950      0.00432238        1900275.00      1900275      1900275         
1960      0.00430509        1919820.00      1919820      1919820         
1970      0.00441568        1939465.00      1939465      1939465         
1980      0.00441553        1959210.00      1959210      1959210         
1990      0.00448119        1979055.00      1979055      1979055         
2000      0.00460162        1999000.00      1999000      1999000         
2010      0.00456894        2019045.00      2019045      2019045         
2020      0.00464692        2039190.00      2039190      2039190         
2030      0.00467064        2059435.00      2059435      2059435         
2040      0.00474489        2079780.00      2079780      2079780         
2050      0.00473578        2100225.00      2100225      2100225         
2060      0.00490130        2120770.00      2120770      2120770         
2070      0.00480899        2141415.00      2141415      2141415         
2080      0.00485150        2162160.00      2162160      2162160         
2090      0.00489507        2183005.00      2183005      2183005         
2100      0.00498862        2203950.00      2203950      2203950         
2110      0.00506333        2224995.00      2224995      2224995         
2120      0.00507056        2246140.00      2246140      2246140         
2130      0.00509558        2267385.00      2267385      2267385         
2140      0.00515346        2288730.00      2288730      2288730         
2150      0.00526110        2310175.00      2310175      2310175         
2160      0.00525958        2331720.00      2331720      2331720         
2170      0.00532755        2353365.00      2353365      2353365         
2180      0.00532014        2375110.00      2375110      2375110         
2190      0.00548678        2396955.00      2396955      2396955         
2200      0.00542482        2418900.00      2418900      2418900         
2210      0.00555242        2440945.00      2440945      2440945         
2220      0.00555202        2463090.00      2463090      2463090         
2230      0.00563382        2485335.00      2485335      2485335         
2240      0.00574348        2507680.00      2507680      2507680         
2250      0.00565937        2530125.00      2530125      2530125         
2260      0.00577100        2552670.00      2552670      2552670         
2270      0.00579229        2575315.00      2575315      2575315         
2280      0.00593576        2598060.00      2598060      2598060         
2290      0.00591448        2620905.00      2620905      2620905         
2300      0.00609713        2643850.00      2643850      2643850         
2310      0.00607181        2666895.00      2666895      2666895         
2320      0.00613548        2690040.00      2690040      2690040         
2330      0.00620379        2713285.00      2713285      2713285         
2340      0.00629787        2736630.00      2736630      2736630         
2350      0.00626882        2760075.00      2760075      2760075         
2360      0.00632552        2783620.00      2783620      2783620         
2370      0.00640535        2807265.00      2807265      2807265         
2380      0.00651040        2831010.00      2831010      2831010         
2390      0.00646832        2854855.00      2854855      2854855         
2400      0.00655696        2878800.00      2878800      2878800         
2410      0.00659143        2902845.00      2902845      2902845         
2420      0.00668982        2926990.00      2926990      2926990         
2430      0.00673650        2951235.00      2951235      2951235         
2440      0.00675137        2975580.00      2975580      2975580         
