N         Time(s)           OB_avg          OB_max       OB_min
45400     0.00500879        851245.58       1004814      795541          
45700     0.00489846        848720.10       963362       807111          
46000     0.00483520        862806.59       936301       807672          
46300     0.00483153        866026.65       949760       820653          
46600     0.00479104        872240.25       947285       814502          
46900     0.00501169        870584.06       970254       815663          
47200     0.00488047        881498.70       985916       816744          
47500     0.00511809        891954.59       1014998      819512          
47800     0.00497401        895312.94       997943       844975          
48100     0.00515449        902193.52       979706       845561          
48400     0.00503220        899540.00       999141       849561          
48700     0.00519998        913027.04       1029191      863844          
49000     0.00527867        922002.27       1044003      865934          
49300     0.00529426        925590.15       1015901      865575          
49600     0.00529540        933056.28       1003904      881031          
49900     0.00543330        937396.68       1019499      882130          
50200     0.00544574        941722.16       1029019      886731          
50500     0.00556431        956499.32       1042076      889645          
50800     0.00546507        958836.70       1076897      896625          
51100     0.00557770        967883.60       1091234      905541          
51400     0.00554465        968210.49       1069844      909576          
51700     0.00547093        985979.97       1087906      926344          
52000     0.00567733        981195.49       1119654      913052          
52300     0.00556822        991546.71       1105601      927848          
52600     0.00562750        988691.01       1076138      934438          
52900     0.00574806        995842.81       1106112      949162          
53200     0.00571486        1007981.61      1101704      943278          
53500     0.00592513        1010245.97      1105393      950662          
53800     0.00595584        1018765.19      1142619      957419          
54100     0.00582492        1028793.95      1118484      951683          
54400     0.00631371        1030994.15      1151394      966625          
54700     0.00592825        1033297.89      1119913      982644          
55000     0.00596830        1048227.58      1214433      981942          
55300     0.00602351        1049900.98      1155370      995335          
55600     0.00588117        1059255.83      1190797      1000550         
55900     0.00609042        1061933.93      1163088      997266          
56200     0.00614121        1067067.88      1167123      990928          
56500     0.00607145        1077768.25      1225547      1003488         
56800     0.00604302        1081200.74      1241332      1004911         
57100     0.00626951        1081526.31      1200661      1007532         
57400     0.00626954        1094376.23      1212000      1022551         
57700     0.00623846        1100933.48      1265434      1020017         
58000     0.00626603        1100657.04      1183290      1038171         
58300     0.00630226        1118024.24      1333997      1039307         
58600     0.00626034        1120851.87      1331982      1057157         
58900     0.00642812        1131771.80      1244170      1059354         
59200     0.00659652        1136591.55      1220871      1048287         
59500     0.00652232        1138049.01      1218839      1080629         
59800     0.00649847        1143098.26      1233296      1073146         
60100     0.00662621        1145118.12      1220629      1090162         
60400     0.00669459        1158592.30      1268769      1085575         
60700     0.00674756        1172918.72      1358055      1103657         
61000     0.00699296        1175213.52      1302989      1097012         
61300     0.00720299        1176524.58      1263831      1112403         
61600     0.00661138        1185692.88      1300502      1100370         
61900     0.00663557        1190149.85      1314620      1118651         
62200     0.00672228        1200956.70      1327268      1127724         
62500     0.00686629        1203455.72      1346060      1137990         
62800     0.00692341        1209603.89      1381650      1139077         
63100     0.00697980        1222183.11      1330121      1150534         
63400     0.00734063        1221427.33      1367212      1140791         
63700     0.00677265        1227632.98      1413686      1148059         
64000     0.00701840        1233421.55      1368493      1162675         
64300     0.00705905        1244473.85      1377152      1159219         
64600     0.00684957        1241981.43      1360506      1188360         
64900     0.00696790        1254746.77      1355053      1178212         
65200     0.00710346        1260833.87      1373287      1193543         
65500     0.00703571        1262220.92      1383345      1191318         
65800     0.00710324        1272853.56      1439267      1183471         
66100     0.00721506        1279346.13      1401171      1192425         
66400     0.00722629        1285917.32      1461108      1204407         
66700     0.00737713        1299450.36      1491236      1202837         
67000     0.00725377        1295414.24      1427435      1223695         
67300     0.00755768        1306947.42      1470303      1224161         
67600     0.00749535        1303775.42      1418814      1222669         
67900     0.00740788        1316830.82      1469344      1258378         
68200     0.00783220        1320189.95      1493358      1241794         
68500     0.00942252        1324840.22      1439347      1249669         
68800     0.00840884        1336781.82      1431043      1245480         
69100     0.00819724        1344920.87      1507313      1260867         
69400     0.00844754        1358960.07      1492098      1280934         
69700     0.00806915        1361001.34      1492996      1260724         
70000     0.00851455        1358935.39      1499823      1274185         
70300     0.00819444        1372922.71      1563674      1276510         
70600     0.00811745        1378582.95      1538872      1292189         
