N         Time(s)           OB_avg          OB_max       OB_min
15200     0.00148353        235249.20       251052       226390          
15300     0.00149573        237035.33       255414       228005          
15400     0.00148799        238337.96       255256       228676          
15500     0.00149521        240232.80       259637       232434          
15600     0.00150074        242480.06       255710       231988          
15700     0.00153057        243612.45       264510       234177          
15800     0.00154118        245067.36       258407       237154          
15900     0.00154007        247214.34       260921       238539          
16000     0.00153111        248942.67       264441       239403          
16100     0.00154176        250448.80       267372       241272          
16200     0.00157705        251992.15       274636       242889          
16300     0.00158383        254052.49       270263       243202          
16400     0.00159058        255700.66       279892       244747          
16500     0.00156868        257907.01       272051       248546          
16600     0.00160769        260646.95       285513       248434          
16700     0.00174785        261304.22       276754       252925          
16800     0.00163728        262527.07       278750       252467          
16900     0.00163515        263629.92       283061       254992          
17000     0.00165158        265749.98       288989       255828          
17100     0.00171340        267763.49       292589       256684          
17200     0.00165974        269298.02       289105       259684          
17300     0.00165866        272060.94       295444       260964          
17400     0.00166723        274117.08       307012       261650          
17500     0.00170857        275871.17       291898       266446          
17600     0.00170918        276456.12       291974       264936          
17700     0.00173322        279754.17       310330       268070          
17800     0.00172403        280262.47       297477       271230          
17900     0.00174109        282287.61       303251       271941          
18000     0.00176172        284357.83       303161       273346          
18100     0.00176903        284756.42       310193       273868          
18200     0.00176167        287884.79       314983       276390          
18300     0.00179732        288970.02       308270       276600          
18400     0.00179554        290534.64       314727       279352          
18500     0.00181533        292871.55       323426       279861          
18600     0.00182438        294623.94       323286       283343          
18700     0.00185567        296356.70       312382       283611          
18800     0.00186313        298112.01       314970       288357          
18900     0.00188408        300096.18       323567       288128          
19000     0.00193063        301080.11       327393       290004          
19100     0.00196801        302865.87       321812       290279          
19200     0.00191134        304030.11       332329       293577          
19300     0.00189742        306785.88       325252       294412          
19400     0.00189496        308726.31       328810       297272          
19500     0.00191667        309936.55       334704       296563          
19600     0.00194335        310477.23       324880       300409          
19700     0.00192524        313717.83       331155       302465          
19800     0.00195941        315518.66       331594       304025          
19900     0.00197317        316964.31       342604       306551          
20000     0.00203442        318116.69       340250       306401          
20100     0.00207195        321231.78       349159       307190          
20200     0.00204353        321711.56       348192       307018          
20300     0.00203575        324865.51       346967       312075          
20400     0.00206003        325276.89       345558       313080          
20500     0.00209617        327035.66       347932       316271          
20600     0.00202027        328801.19       352492       317959          
20700     0.00207847        332295.31       356420       319963          
20800     0.00213472        332896.16       353959       321707          
20900     0.00212516        334855.93       367522       321378          
21000     0.00208766        336575.06       364026       325130          
21100     0.00208433        338299.72       369860       325497          
21200     0.00213772        339379.76       358627       328929          
21300     0.00219226        341123.53       365633       329423          
21400     0.00219777        343313.67       373469       330145          
21500     0.00228489        344829.08       371696       333973          
21600     0.00222840        346729.28       365082       334495          
21700     0.00212802        349493.60       388801       334500          
21800     0.00221098        351947.78       375583       339056          
21900     0.00215997        352444.47       376403       338172          
